Month,total_flights,delayed_flights,delay_rate_pct
1,2619536,415835.0,15.874376225407858
2,2271078,402935.0,17.74201502546368
3,2638506,402636.0,15.25999940875632
4,2363396,385203.0,16.298707453173314
5,2314676,411515.0,17.778514141936064
6,2377610,530428.0,22.309293786617655
7,2644980,553982.0,20.944657426521186
8,2183399,419385.0,19.207895579323797
9,2180689,287351.0,13.177073851429524
10,2307002,349796.0,15.162362234623117
11,2241342,323283.0,14.42363548267065
12,2274301,421745.0,18.543939434577922
